medfile,rat,session,box,dietgroup,date,bottleL,bottleR,licksL,licksR,Totallicks,intakeL,intakeR,include
!2019-02-22_08h59m.Subject IPP3.1,IPP3.1,s1,1.0,NR,22022019.0,saccharin,saccharin,556.0,11.0,567.0,2.0,2.0,
!2019-02-22_08h59m.Subject IPP3.2,IPP3.2,s1,2.0,NR,22022019.0,saccharin,saccharin,1299.0,455.0,1754.0,4.0,2.0,
!2019-02-22_08h59m.Subject IPP3.3,IPP3.3,s1,3.0,PR,22022019.0,saccharin,saccharin,322.0,1323.0,1645.0,2.0,3.0,
!2019-02-22_08h59m.Subject IPP3.4,IPP3.4,s1,4.0,PR,22022019.0,saccharin,saccharin,1814.0,1119.0,2933.0,4.0,2.0,
!2019-02-22_10h12m.Subject IPP3.5,IPP3.5,s1,1.0,NR,22022019.0,saccharin,saccharin,434.0,580.0,1014.0,3.0,2.0,
!2019-02-22_10h12m.Subject IPP3.6,IPP3.6,s1,2.0,NR,22022019.0,saccharin,saccharin,220.0,86.0,306.0,1.0,0.0,
!2019-02-22_10h12m.Subject IPP3.7,IPP3.7,s1,3.0,PR,22022019.0,saccharin,saccharin,628.0,737.0,1365.0,2.0,3.0,
!2019-02-22_10h12m.Subject IPP3.8,IPP3.8,s1,4.0,PR,22022019.0,saccharin,saccharin,2467.0,1804.0,4271.0,5.0,5.0,
!2019-02-22_11h25m.Subject IPP3.9,IPP3.9,s1,1.0,NR,22022019.0,saccharin,saccharin,207.0,94.0,301.0,1.0,3.0,
!2019-02-22_11h25m.Subject IPP3.10,IPP3.10,s1,2.0,NR,22022019.0,saccharin,saccharin,817.0,271.0,1088.0,2.0,1.0,
!2019-02-22_11h25m.Subject IPP3.11,IPP3.11,s1,3.0,PR,22022019.0,saccharin,saccharin,62.0,2217.0,2279.0,1.0,7.0,
!2019-02-22_11h25m.Subject IPP3.12,IPP3.12,s1,4.0,PR,22022019.0,saccharin,saccharin,1080.0,410.0,1490.0,2.0,1.0,
!2019-02-23_09h27m.Subject IPP3.1,IPP3.1,s2,1.0,NR,23022019.0,saccharin,saccharin,2193.0,601.0,2794.0,8.0,2.0,
!2019-02-23_09h27m.Subject IPP3.2,IPP3.2,s2,2.0,NR,23022019.0,saccharin,saccharin,914.0,2519.0,3433.0,4.0,11.0,
!2019-02-23_09h27m.Subject IPP3.3,IPP3.3,s2,3.0,PR,23022019.0,saccharin,saccharin,467.0,1281.0,1748.0,1.0,5.0,
!2019-02-23_09h28m.Subject IPP3.4,IPP3.4,s2,4.0,PR,23022019.0,saccharin,saccharin,472.0,4975.0,5447.0,2.0,2.0,
!2019-02-23_10h38m.Subject IPP3.5,IPP3.5,s2,1.0,NR,23022019.0,saccharin,saccharin,740.0,937.0,1677.0,3.0,5.0,
!2019-02-23_10h39m.Subject IPP3.6,IPP3.6,s2,2.0,NR,23022019.0,saccharin,saccharin,197.0,140.0,337.0,7.0,3.0,
!2019-02-23_10h39m.Subject IPP3.7,IPP3.7,s2,3.0,PR,23022019.0,saccharin,saccharin,730.0,1678.0,2408.0,5.0,7.0,
!2019-02-23_10h39m.Subject IPP3.8,IPP3.8,s2,4.0,PR,23022019.0,saccharin,saccharin,519.0,5245.0,5764.0,3.0,9.0,
!2019-02-23_08h11m.Subject IPP3.9,IPP3.9,s2,1.0,NR,23022019.0,saccharin,saccharin,2138.0,210.0,2348.0,8.0,2.0,
!2019-02-23_08h11m.Subject IPP3.10,IPP3.10,s2,2.0,NR,23022019.0,saccharin,saccharin,1302.0,2295.0,3597.0,5.0,12.0,
!2019-02-23_08h11m.Subject IPP3.11,IPP3.11,s2,3.0,PR,23022019.0,saccharin,saccharin,753.0,3714.0,4467.0,4.0,14.0,
!2019-02-23_08h11m.Subject IPP3.12,IPP3.12,s2,4.0,PR,23022019.0,saccharin,saccharin,732.0,368.0,1100.0,2.0,2.0,
!2019-02-24_10h46m.Subject IPP3.1,IPP3.1,s3,1.0,NR,24022019.0,saccharin,saccharin,304.0,2730.0,3034.0,2.0,10.0,
!2019-02-24_10h46m.Subject IPP3.2,IPP3.2,s3,2.0,NR,24022019.0,saccharin,saccharin,721.0,3652.0,4373.0,3.0,9.0,
!2019-02-24_10h46m.Subject IPP3.3,IPP3.3,s3,3.0,PR,24022019.0,saccharin,saccharin,647.0,2352.0,2999.0,2.0,10.0,
!2019-02-24_10h46m.Subject IPP3.4,IPP3.4,s3,4.0,PR,24022019.0,saccharin,saccharin,486.0,3221.0,3707.0,4.0,14.0,
!2019-02-24_08h22m.Subject IPP3.5,IPP3.5,s3,1.0,NR,24022019.0,saccharin,saccharin,422.0,1749.0,2171.0,4.0,5.0,
!2019-02-24_08h22m.Subject IPP3.6,IPP3.6,s3,2.0,NR,24022019.0,saccharin,saccharin,392.0,210.0,602.0,3.0,4.0,
!2019-02-24_08h22m.Subject IPP3.7,IPP3.7,s3,3.0,PR,24022019.0,saccharin,saccharin,233.0,1729.0,1962.0,2.0,10.0,
!2019-02-24_08h22m.Subject IPP3.8,IPP3.8,s3,4.0,PR,24022019.0,saccharin,saccharin,924.0,2962.0,3886.0,6.0,11.0,
!2019-02-24_09h34m.Subject IPP3.9,IPP3.9,s3,1.0,NR,24022019.0,saccharin,saccharin,1695.0,2802.0,4497.0,6.0,12.0,
!2019-02-24_09h34m.Subject IPP3.10,IPP3.10,s3,2.0,NR,24022019.0,saccharin,saccharin,2759.0,694.0,3453.0,14.0,2.0,
!2019-02-24_09h34m.Subject IPP3.11,IPP3.11,s3,3.0,PR,24022019.0,saccharin,saccharin,605.0,2662.0,3267.0,3.0,16.0,
!2019-02-24_09h34m.Subject IPP3.12,IPP3.12,s3,4.0,PR,24022019.0,saccharin,saccharin,412.0,1928.0,2340.0,2.0,7.0,
!2019-02-25_08h30m.Subject IPP3.1,IPP3.1,s4,1.0,NR,25022019.0,malto GR,casein CH,524.0,1334.0,1858.0,1.0,,
!2019-02-25_08h30m.Subject IPP3.2,IPP3.2,s4,2.0,NR,25022019.0,casein CH,malto GR,2650.0,612.0,3262.0,,1.0,
!2019-02-25_08h24m.Subject IPP3.3,IPP3.3,s4,3.0,PR,25022019.0,casein GR,malto CH,4775.0,594.0,5369.0,13.0,3.0,
!2019-02-25_08h24m.Subject IPP3.4,IPP3.4,s4,4.0,PR,25022019.0,malto CH,casein GR,489.0,4638.0,5127.0,1.0,18.0,
!2019-02-25_09h41m.Subject IPP3.5,IPP3.5,s4,1.0,NR,25022019.0,malto CH,casein GR,2503.0,596.0,3099.0,7.0,6.0,
!2019-02-25_09h41m.Subject IPP3.6,IPP3.6,s4,2.0,NR,25022019.0,casein GR,malto CH,301.0,198.0,499.0,3.0,1.0,
!2019-02-25_09h41m.Subject IPP3.7,IPP3.7,s4,3.0,PR,25022019.0,malto GR,casein CH,177.0,1854.0,2031.0,3.0,7.0,
!2019-02-25_09h41m.Subject IPP3.8,IPP3.8,s4,4.0,PR,25022019.0,casein CH,malto GR,1466.0,1971.0,3437.0,4.0,0.0,
!2019-02-25_10h53m.Subject IPP3.9,IPP3.9,s4,1.0,NR,25022019.0,casein CH,malto GR,3250.0,356.0,3606.0,10.0,1.0,
!2019-02-25_10h53m.Subject IPP3.10,IPP3.10,s4,2.0,NR,25022019.0,malto CH,casein GR,222.0,74.0,296.0,0.0,1.0,
!2019-02-25_10h53m.Subject IPP3.11,IPP3.11,s4,3.0,PR,25022019.0,casein CH,malto GR,513.0,496.0,1009.0,0.0,0.0,
!2019-02-25_10h53m.Subject IPP3.12,IPP3.12,s4,4.0,PR,25022019.0,casein GR,malto CH,3015.0,3637.0,6652.0,7.0,10.0,
!2019-02-26_10h04m.Subject IPP3.1,IPP3.1,s5,1.0,NR,26022019.0,malto GR,casein CH,297.0,850.0,1147.0,0.0,14.0,
!2019-02-26_10h04m.Subject IPP3.2,IPP3.2,s5,2.0,NR,26022019.0,casein CH,malto GR,2292.0,1424.0,3716.0,13.0,7.0,
!2019-02-26_10h04m.Subject IPP3.3,IPP3.3,s5,3.0,PR,26022019.0,casein GR,malto CH,674.0,707.0,1381.0,2.0,1.0,
!2019-02-26_10h04m.Subject IPP3.4,IPP3.4,s5,4.0,PR,26022019.0,malto CH,casein GR,545.0,4876.0,5421.0,3.0,27.0,
!2019-02-26_11h18m.Subject IPP3.5,IPP3.5,s5,1.0,NR,26022019.0,malto CH,casein GR,184.0,1857.0,2041.0,0.0,9.0,
!2019-02-26_11h18m.Subject IPP3.6,IPP3.6,s5,2.0,NR,26022019.0,casein GR,malto CH,1099.0,153.0,1252.0,4.0,2.0,
!2019-02-26_11h18m.Subject IPP3.7,IPP3.7,s5,3.0,PR,26022019.0,malto GR,casein CH,48.0,3889.0,3937.0,1.0,16.0,
!2019-02-26_11h18m.Subject IPP3.8,IPP3.8,s5,4.0,PR,26022019.0,casein CH,malto GR,2612.0,171.0,2783.0,10.0,0.0,
!2019-02-26_08h44m.Subject IPP3.9,IPP3.9,s5,1.0,NR,26022019.0,casein CH,malto GR,3305.0,487.0,3792.0,7.0,3.0,
!2019-02-26_08h44m.Subject IPP3.10,IPP3.10,s5,2.0,NR,26022019.0,malto CH,casein GR,1193.0,564.0,1757.0,4.0,2.0,
!2019-02-26_08h44m.Subject IPP3.11,IPP3.11,s5,3.0,PR,26022019.0,casein CH,malto GR,2135.0,1003.0,3138.0,13.0,5.0,
!2019-02-26_08h44m.Subject IPP3.12,IPP3.12,s5,4.0,PR,26022019.0,casein GR,malto CH,4499.0,262.0,4761.0,16.0,0.0,
!2019-02-27_11h04m.Subject IPP3.1,IPP3.1,s6,1.0,NR,27022019.0,malto GR,casein CH,695.0,5126.0,5821.0,2.0,18.0,
!2019-02-27_11h04m.Subject IPP3.2,IPP3.2,s6,2.0,NR,27022019.0,casein CH,malto GR,645.0,3143.0,3788.0,3.0,14.0,
!2019-02-27_11h04m.Subject IPP3.3,IPP3.3,s6,3.0,PR,27022019.0,casein GR,malto CH,1281.0,305.0,1586.0,1.0,1.0,
!2019-02-27_11h05m.Subject IPP3.4,IPP3.4,s6,4.0,PR,27022019.0,malto CH,casein GR,94.0,5442.0,5536.0,1.0,29.0,
!2019-02-27_08h29m.Subject IPP3.5,IPP3.5,s6,1.0,NR,27022019.0,malto CH,casein GR,340.0,2228.0,2568.0,1.0,,
!2019-02-27_08h30m.Subject IPP3.6,IPP3.6,s6,2.0,NR,27022019.0,casein GR,malto CH,466.0,886.0,1352.0,,5.0,
!2019-02-27_08h30m.Subject IPP3.7,IPP3.7,s6,3.0,PR,27022019.0,malto GR,casein CH,195.0,5270.0,5465.0,284.0,15.0,
,IPP3.8,s6,4.0,PR,27022019.0,casein CH,malto GR,6042.0,813.0,6855.0,22.0,2.0,
!2019-02-27_09h49m.Subject IPP3.9,IPP3.9,s6,1.0,NR,27022019.0,casein CH,malto GR,3210.0,2082.0,5292.0,22.0,10.0,
!2019-02-27_09h49m.Subject IPP3.10,IPP3.10,s6,2.0,NR,27022019.0,malto CH,casein GR,1588.0,2125.0,3713.0,7.0,10.0,
!2019-02-27_09h49m.Subject IPP3.11,IPP3.11,s6,3.0,PR,27022019.0,casein CH,malto GR,1683.0,399.0,2082.0,4.0,4.0,
!2019-02-27_09h49m.Subject IPP3.12,IPP3.12,s6,4.0,PR,27022019.0,casein GR,malto CH,4808.0,456.0,5264.0,12.0,1.0,
!2019-02-28_08h10m.Subject IPP3.1,IPP3.1,s7,1.0,NR,28022019.0,malto GR,casein CH,1067.0,934.0,2001.0,1.0,4.0,
!2019-02-28_08h10m.Subject IPP3.2,IPP3.2,s7,2.0,NR,28022019.0,casein CH,malto GR,4226.0,2020.0,6246.0,14.0,7.0,
!2019-02-28_08h10m.Subject IPP3.3,IPP3.3,s7,3.0,PR,28022019.0,casein GR,malto CH,4176.0,260.0,4436.0,2.0,1.0,
!2019-02-28_08h10m.Subject IPP3.4,IPP3.4,s7,4.0,PR,28022019.0,malto CH,casein GR,742.0,4960.0,5702.0,2.0,28.0,
!2019-02-28_09h24m.Subject IPP3.5,IPP3.5,s7,1.0,NR,28022019.0,malto CH,casein GR,1191.0,2292.0,3483.0,6.0,12.0,
!2019-02-28_09h24m.Subject IPP3.6,IPP3.6,s7,2.0,NR,28022019.0,casein GR,malto CH,565.0,1721.0,2286.0,5.0,9.0,
!2019-02-28_09h24m.Subject IPP3.7,IPP3.7,s7,3.0,PR,28022019.0,malto GR,casein CH,185.0,8998.0,9183.0,1.0,22.0,
!2019-02-28_09h25m.Subject IPP3.8,IPP3.8,s7,4.0,PR,28022019.0,casein CH,malto GR,9374.0,410.0,9784.0,24.0,1.0,
!2019-02-28_10h36m.Subject IPP3.9,IPP3.9,s7,1.0,NR,28022019.0,casein CH,malto GR,5750.0,207.0,5957.0,14.0,0.0,
!2019-02-28_10h36m.Subject IPP3.10,IPP3.10,s7,2.0,NR,28022019.0,malto CH,casein GR,1519.0,2941.0,4460.0,3.0,12.0,
!2019-02-28_10h36m.Subject IPP3.11,IPP3.11,s7,3.0,PR,28022019.0,casein CH,malto GR,361.0,4022.0,4383.0,3.0,18.0,
!2019-02-28_10h36m.Subject IPP3.12,IPP3.12,s7,4.0,PR,28022019.0,casein GR,malto CH,786.0,5381.0,6167.0,1.0,19.0,
!2019-03-01_10h58m.Subject IPP3.1,IPP3.1,s8,1.0,NR,1032019.0,malto GR,casein CH,3482.0,3816.0,7298.0,13.0,22.0,
!2019-03-01_10h58m.Subject IPP3.2,IPP3.2,s8,2.0,NR,1032019.0,casein CH,malto GR,4254.0,550.0,4804.0,17.0,0.0,
!2019-03-01_10h58m.Subject IPP3.3,IPP3.3,s8,3.0,PR,1032019.0,casein GR,malto CH,1965.0,518.0,2483.0,2.0,0.0,
!2019-03-01_10h58m.Subject IPP3.4,IPP3.4,s8,4.0,PR,1032019.0,malto CH,casein GR,2037.0,2730.0,4767.0,0.0,13.0,
!2019-03-01_09h46m.Subject IPP3.5,IPP3.5,s8,1.0,NR,1032019.0,malto CH,casein GR,421.0,1406.0,1827.0,2.0,7.0,
!2019-03-01_09h46m.Subject IPP3.6,IPP3.6,s8,2.0,NR,1032019.0,casein GR,malto CH,1129.0,626.0,1755.0,1.0,1.0,
!2019-03-01_09h46m.Subject IPP3.7,IPP3.7,s8,3.0,PR,1032019.0,malto GR,casein CH,674.0,2103.0,2777.0,1.0,2.0,
!2019-03-01_09h46m.Subject IPP3.8,IPP3.8,s8,4.0,PR,1032019.0,casein CH,malto GR,6613.0,711.0,7324.0,20.0,3.0,
!2019-03-01_08h24m.Subject IPP3.9,IPP3.9,s8,1.0,NR,1032019.0,casein CH,malto GR,3134.0,2604.0,5738.0,10.0,9.0,
!2019-03-01_08h24m.Subject IPP3.10,IPP3.10,s8,2.0,NR,1032019.0,malto CH,casein GR,413.0,1044.0,1457.0,2.0,3.0,
!2019-03-01_08h24m.Subject IPP3.11,IPP3.11,s8,3.0,PR,1032019.0,casein CH,malto GR,923.0,613.0,1536.0,1.0,1.0,
!2019-03-01_08h24m.Subject IPP3.12,IPP3.12,s8,4.0,PR,1032019.0,casein GR,malto CH,9579.0,337.0,9916.0,16.0,2.0,
